dt,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1694217600,2023-09-09 00:00:00,4,1428.6,19.45,32.22,0.07,25.51,71.43,81.33,9.75
1694221200,2023-09-09 01:00:00,4,1241.68,15.87,36.67,0.55,31.95,57.71,65.16,7.66
1694224800,2023-09-09 02:00:00,4,1201.63,14.75,39.76,1.3,34.81,50.23,57.04,7.73
1694228400,2023-09-09 03:00:00,3,1094.82,10.28,43.53,3.98,36.72,42.6,49.12,8.04
1694232000,2023-09-09 04:00:00,2,801.09,2.29,32.22,33.97,25.27,24.96,29.15,5.83
1694235600,2023-09-09 05:00:00,2,700.95,0.52,27.42,50.07,23.13,18.3,21.71,5.45
1694239200,2023-09-09 06:00:00,2,680.92,0.3,26.73,57.94,23.6,17.02,20.22,5.7
1694242800,2023-09-09 07:00:00,2,794.41,1.4,35.64,57.94,32.42,21.14,25.1,7.85
1694246400,2023-09-09 08:00:00,3,1041.41,2.54,52.78,48.64,47.21,31.45,37.09,10.77
1694250000,2023-09-09 09:00:00,3,1295.09,3.74,66.49,39.7,57.7,42.29,49.57,12.41
1694253600,2023-09-09 10:00:00,4,2162.93,8.72,86.37,15.2,53.41,63.66,75.88,17.48
1694257200,2023-09-09 11:00:00,5,3578.19,34.42,91.85,0.33,50.07,98.1,117.66,22.8
1694260800,2023-09-09 12:00:00,5,4699.71,65.27,87.05,0,53.41,140.43,167.43,28.63
1694264400,2023-09-09 13:00:00,5,5981.45,98.35,78.14,0,61.04,202.95,240.67,44.08
1694268000,2023-09-09 14:00:00,5,7263.18,135.9,69.92,0,76.29,281.91,331.74,72.96
1694271600,2023-09-09 15:00:00,5,8331.3,166.3,67.86,0,96.32,359.01,419.55,107.41
1694275200,2023-09-09 16:00:00,5,8651.73,178.81,66.49,0,100.14,396.33,459.66,121.59
1694278800,2023-09-09 17:00:00,5,8544.92,187.75,57.58,0,78.2,403.49,460.3,90.18
1694282400,2023-09-09 18:00:00,5,7797.24,177.03,50.04,0,48.64,375.47,420.64,41.54
1694286000,2023-09-09 19:00:00,5,4379.27,74.21,73.34,0,41.96,210.1,234.08,14.69
1694289600,2023-09-09 20:00:00,5,3578.19,53.2,65.12,0,33.38,175.14,196.33,12.79
1694293200,2023-09-09 21:00:00,5,3284.45,46.04,59.63,0,30.28,167.59,186.91,13.17
1694296800,2023-09-09 22:00:00,5,3017.43,40.23,53.47,0,29.33,157.06,172.43,12.92
1694300400,2023-09-09 23:00:00,5,2456.67,31.74,44.55,0,28.13,124.64,137.56,11.4
1694304000,2023-09-10 00:00:00,5,1869.2,24.36,38.39,0.02,28.85,87.61,98.32,10.51
1694307600,2023-09-10 01:00:00,4,1295.09,16.76,39.41,0.37,32.9,57.06,64.22,8.04
1694311200,2023-09-10 02:00:00,4,1228.33,16.09,41.13,1.54,36.72,50.9,58.23,8.49
1694314800,2023-09-10 03:00:00,3,1201.63,13.63,43.87,5.01,41.96,49.1,56.9,8.74
1694318400,2023-09-10 04:00:00,3,934.6,4.02,39.76,30.76,32.42,33.34,39.22,7.09
1694322000,2023-09-10 05:00:00,3,801.09,1.41,36.33,47.92,29.56,25.42,30.25,6.71
1694325600,2023-09-10 06:00:00,2,787.73,0.94,36.33,54.36,30.99,24.79,29.33,6.84
1694329200,2023-09-10 07:00:00,3,947.95,1.82,44.55,50.78,38.15,30.2,35.62,8.87
1694332800,2023-09-10 08:00:00,3,1321.79,2.71,67.86,33.62,53.41,44.52,51.97,12.67
1694336400,2023-09-10 09:00:00,4,1762.39,4.08,94.59,13.05,68.66,62.08,71.51,16.97
1694340000,2023-09-10 10:00:00,5,2243.04,12.41,111.04,1.07,78.2,80.28,91.45,20.77
1694343600,2023-09-10 11:00:00,5,2696.99,26.6,109.67,0.02,72.48,97.59,110.4,19.25
